protectionist,age,female,TUmember,partyid,ideology,schooling
1,38,1,0,3,1,17
0,45,0,1,6,0,14
1,69,0,0,0,0,10
0,51,1,0,2,0,12
1,28,0,0,5,0,14
0,65,1,0,2,2,12
1,50,1,0,6,0,12
0,44,0,0,0,2,16
0,65,0,0,1,2,9
1,47,1,0,4,0,17
1,27,1,0,0,2,14
1,38,0,0,5,0,12
1,79,0,1,1,2,8
1,88,1,0,0,2,13
1,74,1,0,0,0,12
0,29,1,0,0,2,16
0,35,1,0,0,2,17
0,57,0,0,0,2,11
1,44,0,1,3,0,12
0,62,0,0,5,0,14
0,46,0,0,6,0,17
1,37,0,0,4,0,12
0,57,0,0,1,0,16
1,84,0,0,0,2,7
0,32,0,0,2,2,17
1,37,0,1,2,2,16
0,39,1,0,2,0,16
1,82,0,0,6,0,12
1,71,1,0,6,0,14
1,26,0,0,6,0,13
0,26,0,1,2,0,12
0,34,0,1,2,1,12
0,44,1,0,4,0,17
0,45,0,0,0,0,17
1,52,1,0,4,0,17
1,61,0,0,4,0,16
1,48,0,0,1,2,16
0,57,1,0,0,2,16
0,37,1,0,2,0,13
1,57,1,0,4,0,12
0,27,0,0,2,0,17
0,67,0,0,1,2,12
0,61,0,0,1,0,12
1,69,1,0,4,0,16
0,79,0,0,0,2,12
1,46,1,0,4,0,12
0,28,0,0,2,2,15
1,35,0,0,1,0,12
1,33,0,0,4,0,14
1,73,0,0,5,0,14
1,49,1,1,0,2,17
1,76,0,1,2,0,14
0,27,1,0,0,2,17
1,63,1,0,4,0,17
0,49,1,0,5,2,17
1,24,0,0,0,0,15
0,41,0,0,1,0,8
1,35,0,0,3,0,17
1,88,0,1,2,0,8
0,68,1,0,6,0,16
1,72,1,0,4,0,12
1,29,0,0,4,0,8
1,53,1,0,3,0,14
1,59,0,1,5,0,12
0,71,1,0,6,0,12
1,42,0,0,4,0,12
1,64,1,0,5,0,11
1,47,1,1,2,2,17
0,35,1,0,3,0,12
0,64,0,0,1,0,10
1,42,1,1,0,2,17
0,56,1,0,1,2,6
1,92,1,0,0,0,12
0,29,1,0,0,2,17
1,40,1,0,1,2,12
0,43,0,0,6,0,16
0,31,1,1,2,2,17
0,55,0,0,3,0,12
1,45,1,1,2,2,12
1,63,1,1,0,0,12
0,57,0,0,1,1,17
0,37,0,0,4,2,16
0,42,0,0,1,1,16
1,32,1,0,5,0,16
0,45,0,1,2,2,15
0,40,1,0,6,0,16
0,44,1,0,1,2,17
1,30,0,0,6,0,16
0,52,0,1,2,0,12
0,40,1,1,6,0,16
0,40,1,0,3,0,12
0,39,0,0,5,0,17
0,74,0,1,0,0,12
1,67,0,0,6,0,12
1,71,1,0,6,0,12
1,70,1,0,1,1,10
0,76,1,0,1,2,12
1,53,0,0,5,0,12
0,47,1,0,3,2,14
1,39,0,1,4,0,14
0,81,0,0,6,0,17
0,80,1,0,5,0,14
0,49,0,0,0,2,17
1,52,0,1,5,0,17
0,34,0,0,6,0,16
1,65,0,0,6,0,17
0,61,0,0,3,2,17
1,31,0,0,6,0,16
0,21,0,0,5,0,15
1,39,0,0,6,0,14
1,62,0,0,0,2,14
1,72,1,0,0,0,11
1,69,0,0,0,0,12
0,33,0,0,6,2,12
1,39,0,0,6,0,14
1,40,0,1,6,0,14
1,71,1,0,0,2,11
1,37,0,1,4,0,17
1,25,0,0,6,0,17
1,33,1,0,6,0,16
1,26,1,0,4,2,14
1,22,1,0,1,2,16
1,31,1,0,5,0,12
1,36,1,0,0,2,12
1,80,1,0,0,0,15
1,48,0,0,1,0,12
1,50,0,0,1,0,14
1,39,1,1,5,0,17
1,65,1,0,3,2,14
1,30,1,0,6,0,16
1,79,0,0,1,0,13
0,58,1,0,1,0,11
1,80,0,0,3,0,4
0,62,1,0,0,0,11
1,41,1,0,0,2,12
0,31,0,0,6,0,16
1,71,0,0,1,1,12
1,61,1,0,5,0,14
1,91,1,0,2,1,8
1,58,1,0,1,2,12
1,33,1,0,0,2,14
1,69,1,0,0,1,12
0,57,0,1,6,0,16
0,45,0,0,4,2,12
0,35,0,0,1,2,16
0,31,1,0,6,0,16
0,29,0,0,2,0,12
1,33,0,1,2,0,17
1,51,0,0,3,0,9
1,59,1,0,0,0,10
1,61,0,0,0,0,12
1,41,1,0,2,2,13
1,41,1,0,1,0,13
1,49,0,1,0,0,15
0,48,0,1,1,2,12
0,38,1,0,6,0,12
0,53,0,0,6,0,16
1,58,0,0,2,0,17
1,62,0,0,5,0,14
1,32,1,0,0,2,16
1,81,0,0,0,0,12
1,80,1,0,6,0,16
1,68,1,0,4,0,16
1,64,1,0,5,0,10
1,50,1,0,6,0,14
1,36,1,0,1,2,12
0,42,1,0,5,2,12
0,52,0,0,6,0,12
1,77,0,0,0,0,17
0,71,0,0,5,0,16
1,79,1,0,1,0,10
1,68,0,0,5,0,12
1,49,0,0,0,2,17
1,56,1,0,5,0,14
1,66,1,0,1,0,11
0,26,1,0,0,2,14
1,73,0,1,5,0,12
